id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
271053282,db74091d-56b0-4245-9402-9bee1ba27c0b,2025-04-17 12:44:43-04:00,2025-04-17,2025-04-17 16:44:43 UTC,Eastern Time (US & Canada),1046402,jsrhollis,JSReiff,2025-04-17 17:58:47 UTC,2025-04-19 12:12:14 UTC,research,CC-BY,https://www.inaturalist.org/observations/271053282,https://inaturalist-open-data.s3.amazonaws.com/photos/487528416/medium.jpg,,"","",1,0,false,3,"Greenwood, ME, US",44.3333633333,-70.7565466667,4,,,,4,,,false,,,Tree Lungwort,Lobaria pulmonaria,Tree Lungwort,Fungi,48711
284360882,6f6cbedb-2770-43d7-9dfd-8480a371d4a2,2025-05-26 12:48:28-04:00,2025-05-26,2025-05-26 16:48:28 UTC,Eastern Time (US & Canada),6903448,jamesalbany,,2025-05-26 20:20:57 UTC,2025-05-26 23:37:35 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/284360882,https://inaturalist-open-data.s3.amazonaws.com/photos/511033869/medium.jpg,,"","",1,0,false,3,"Greenwood, ME, US",44.333625,-70.7580416667,18,,,,18,,,false,,,dwarf ginseng,Panax trifolius,dwarf ginseng,Plantae,123049
284361367,e90bf3bb-5931-409b-a8e9-34b9c9804d3c,2025-05-26 12:44:24-04:00,2025-05-26,2025-05-26 16:44:24 UTC,Eastern Time (US & Canada),6903448,jamesalbany,,2025-05-26 20:22:14 UTC,2025-07-29 14:46:29 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/284361367,https://inaturalist-open-data.s3.amazonaws.com/photos/511034614/medium.jpg,,"","",1,0,false,3,"Albany Twp, ME, US",44.33478,-70.7593616667,4,,,,4,,,false,,,rose twisted-stalk,Streptopus lanceolatus,rose twisted-stalk,Plantae,127916
285377086,094533b3-fced-401b-877e-ad1845104472,2025-05-29 14:55:24,2025-05-29,2025-05-29 18:55:24 UTC,Eastern Time (US & Canada),3477248,cr0akie,Maxwell Gagnon,2025-05-30 16:53:35 UTC,2025-05-30 17:11:24 UTC,research,,https://www.inaturalist.org/observations/285377086,https://static.inaturalist.org/photos/512946541/medium.jpg,,"",,1,0,false,843,"Greenwood, ME, US",44.3334166667,-70.7566966667,4,,,,4,,,false,,,dwarf ginseng,Panax trifolius,dwarf ginseng,Plantae,123049
285468895,4710ff68-fdca-4aff-8245-3f8576ad4866,2025-05-29 14:43:52,2025-05-29,2025-05-29 18:43:52 UTC,Eastern Time (US & Canada),3477248,cr0akie,Maxwell Gagnon,2025-05-30 23:06:45 UTC,2025-06-03 02:20:16 UTC,research,,https://www.inaturalist.org/observations/285468895,https://static.inaturalist.org/photos/514955257/medium.jpg,,"",,1,0,false,843,"Albany Twp, ME, US",44.335475,-70.760605,4,,,,4,,open,false,,,painted trillium,Trillium undulatum,painted trillium,Plantae,51435
286442845,9c1d9dff-416e-4a04-8b0f-d354c668738a,2025-05-29 15:01:56,2025-05-29,2025-05-29 19:01:56 UTC,Eastern Time (US & Canada),3477248,cr0akie,Maxwell Gagnon,2025-06-03 02:21:03 UTC,2025-10-30 20:43:53 UTC,needs_id,,https://www.inaturalist.org/observations/286442845,https://static.inaturalist.org/photos/514955499/medium.jpg,,"",,3,0,false,843,"Greenwood, ME, US",44.3333966667,-70.7565916667,4,,,,4,,,false,,,Limnophilinae,Limnophilinae,,Insecta,489803
297195479,7864b369-3e71-4919-8256-49709c90618f,2025-07-11 15:44:55,2025-07-11,2025-07-11 19:44:55 UTC,Eastern Time (US & Canada),1427403,solcm7,Sol Adams,2025-07-12 03:48:45 UTC,2025-07-15 19:31:59 UTC,needs_id,,https://www.inaturalist.org/observations/297195479,https://static.inaturalist.org/photos/535214997/medium.jpg,,"",,0,0,false,2,"South Oxford, ME 04217, USA",44.3355044997,-70.7613795997,,,,,,,open,false,gps,gps,rough cinquefoil,Potentilla norvegica,rough cinquefoil,Plantae,55732
298240559,6e354e74-036c-419a-913f-ccc385b8e98e,2025-07-11 15:49:26,2025-07-11,2025-07-11 19:49:26 UTC,Eastern Time (US & Canada),1427403,solcm7,Sol Adams,2025-07-15 19:32:00 UTC,2025-07-16 01:15:29 UTC,research,,https://www.inaturalist.org/observations/298240559,https://static.inaturalist.org/photos/537186244/medium.jpg,,"",,1,0,false,2,"South Oxford, ME 04217, USA",44.3343405997,-70.7589908,,,,,,,,false,gps,gps,mountain woodsorrel,Oxalis montana,mountain woodsorrel,Plantae,165994
298240743,873c075a-06fa-45d2-857e-b2747b22816e,2025-07-11 15:51:50,2025-07-11,2025-07-11 19:51:50 UTC,Eastern Time (US & Canada),1427403,solcm7,Sol Adams,2025-07-15 19:32:52 UTC,2025-07-15 19:33:31 UTC,needs_id,,https://www.inaturalist.org/observations/298240743,https://static.inaturalist.org/photos/537186623/medium.jpg,,"",,0,0,false,2,"South Oxford, ME 04217, USA",44.3337379997,-70.758318,,,,,,,,false,gps,gps,polypody ferns,Polypodium,polypody ferns,Plantae,52680
298240976,3471472a-3f80-4285-8c6f-f0b726562043,2025-07-11 15:54:11,2025-07-11,2025-07-11 19:54:11 UTC,Eastern Time (US & Canada),1427403,solcm7,Sol Adams,2025-07-15 19:33:32 UTC,2025-07-18 00:28:10 UTC,research,,https://www.inaturalist.org/observations/298240976,https://static.inaturalist.org/photos/538020342/medium.jpg,,"",,1,0,false,2,"South Oxford, ME 04217, USA",44.3335798997,-70.7581196997,,,,,,,,false,gps,gps,Canada lily,Lilium canadense,Canada lily,Plantae,57131
298677461,ea8b268a-eaed-4bbc-b966-e00f5a872736,2025-07-11 15:54:57,2025-07-11,2025-07-11 19:54:57 UTC,Eastern Time (US & Canada),1427403,solcm7,Sol Adams,2025-07-17 14:39:29 UTC,2025-07-17 14:39:35 UTC,needs_id,,https://www.inaturalist.org/observations/298677461,https://static.inaturalist.org/photos/538027915/medium.jpg,,"",,0,0,false,2,"South Oxford, ME 04217, USA",44.333491,-70.7580825,,,,,,,,false,gps,gps,Rhizomnium,Rhizomnium,,Plantae,68068
298677495,5c9b5b74-bbcf-48d2-88b3-98760651475c,2025-07-11 15:56:25,2025-07-11,2025-07-11 19:56:25 UTC,Eastern Time (US & Canada),1427403,solcm7,Sol Adams,2025-07-17 14:39:36 UTC,2025-10-22 16:35:42 UTC,research,,https://www.inaturalist.org/observations/298677495,https://static.inaturalist.org/photos/538027976/medium.jpg,,"",,1,0,false,2,"South Oxford, ME 04217, USA",44.3335361997,-70.7579817,,,,,,,,false,gps,gps,green false hellebore,Veratrum viride,green false hellebore,Plantae,79484
298677542,25f04da8-5396-49d1-a8bf-ceca57803d25,2025-07-11 15:57:09,2025-07-11,2025-07-11 19:57:09 UTC,Eastern Time (US & Canada),1427403,solcm7,Sol Adams,2025-07-17 14:39:49 UTC,2025-09-12 15:44:20 UTC,needs_id,,https://www.inaturalist.org/observations/298677542,https://static.inaturalist.org/photos/538028071/medium.jpg,,"",On Rubus hispidus,2,0,false,2,"South Oxford, ME 04217, USA",44.3335579997,-70.7579556997,,,,,,,,false,gps,gps,Fen Flies,Neoascia,Fen Flies,Insecta,486780
298677593,bace1e0d-4f2d-48b0-b8eb-966314a88045,2025-07-11 15:57:18,2025-07-11,2025-07-11 19:57:18 UTC,Eastern Time (US & Canada),1427403,solcm7,Sol Adams,2025-07-17 14:40:03 UTC,2025-07-17 14:40:09 UTC,needs_id,,https://www.inaturalist.org/observations/298677593,https://static.inaturalist.org/photos/538028187/medium.jpg,,"",,0,0,false,2,"South Oxford, ME 04217, USA",44.3335579997,-70.7579556997,,,,,,,,false,gps,gps,Cordyceps,Cordyceps,,Fungi,58707
298677608,dd2c72a5-b34f-4b59-92a9-d1c9b577cba6,2025-07-11 15:58:21,2025-07-11,2025-07-11 19:58:21 UTC,Eastern Time (US & Canada),1427403,solcm7,Sol Adams,2025-07-17 14:40:10 UTC,2025-07-17 16:38:57 UTC,research,,https://www.inaturalist.org/observations/298677608,https://static.inaturalist.org/photos/538028244/medium.jpg,,"",,1,0,false,2,"South Oxford, ME 04217, USA",44.3335689,-70.7577832,,,,,,,,false,gps,gps,Canada lily,Lilium canadense,Canada lily,Plantae,57131
298677753,9ffbffa6-1f08-46f3-8492-929adb6b3832,2025-07-11 16:00:05,2025-07-11,2025-07-11 20:00:05 UTC,Eastern Time (US & Canada),1427403,solcm7,Sol Adams,2025-07-17 14:40:44 UTC,2025-07-17 14:41:20 UTC,needs_id,,https://www.inaturalist.org/observations/298677753,https://static.inaturalist.org/photos/538028490/medium.jpg,,"",,0,0,false,2,"South Oxford, ME 04217, USA",44.3336834997,-70.7574007997,,,,,,,,false,gps,gps,Greater Purple Fringed Orchid,Platanthera grandiflora,Greater Purple Fringed Orchid,Plantae,132322
298677928,8ae5b5d4-1f70-4f31-a86f-305df85b4b5f,2025-07-11 16:02:01,2025-07-11,2025-07-11 20:02:01 UTC,Eastern Time (US & Canada),1427403,solcm7,Sol Adams,2025-07-17 14:41:21 UTC,2025-07-17 14:41:37 UTC,needs_id,,https://www.inaturalist.org/observations/298677928,https://static.inaturalist.org/photos/538028800/medium.jpg,,"",,0,0,false,2,"South Oxford, ME 04217, USA",44.3336613,-70.7574309997,,,,,,,,false,gps,gps,tall meadow-rue,Thalictrum pubescens,tall meadow-rue,Plantae,128715
298677983,6159688e-44d0-412e-8f0f-87507eea005a,2025-07-11 16:07:06,2025-07-11,2025-07-11 20:07:06 UTC,Eastern Time (US & Canada),1427403,solcm7,Sol Adams,2025-07-17 14:41:38 UTC,2025-07-17 19:15:47 UTC,research,,https://www.inaturalist.org/observations/298677983,https://static.inaturalist.org/photos/538028938/medium.jpg,,"",,1,0,false,2,"South Oxford, ME 04217, USA",44.3330022997,-70.7561402,,,,,,,,false,gps,gps,partridgeberry,Mitchella repens,partridgeberry,Plantae,83799
298678031,ab5fd1d7-0089-44f1-8a7a-41470b930229,2025-07-11 16:07:40,2025-07-11,2025-07-11 20:07:40 UTC,Eastern Time (US & Canada),1427403,solcm7,Sol Adams,2025-07-17 14:41:50 UTC,2025-07-17 15:11:01 UTC,research,,https://www.inaturalist.org/observations/298678031,https://static.inaturalist.org/photos/538029027/medium.jpg,,"",,1,0,false,2,"South Oxford, ME 04217, USA",44.3328933,-70.7561790997,,,,,,,,false,gps,gps,flat-branched tree-clubmoss,Dendrolycopodium obscurum,flat-branched tree-clubmoss,Plantae,204198
298678115,aa1bae21-6085-4e7c-8857-3130d6a33803,2025-07-11 16:12:38,2025-07-11,2025-07-11 20:12:38 UTC,Eastern Time (US & Canada),1427403,solcm7,Sol Adams,2025-07-17 14:42:17 UTC,2025-07-17 14:42:23 UTC,needs_id,,https://www.inaturalist.org/observations/298678115,https://static.inaturalist.org/photos/538029213/medium.jpg,,"",,0,0,false,2,"South Oxford, ME 04217, USA",44.3327130997,-70.7558911997,,,,,,,,false,gps,gps,boletes,Boletaceae,boletes,Fungi,48702
298678136,e0054dcf-7a15-44d8-862c-5bfd4ed648d2,2025-07-11 16:13:16,2025-07-11,2025-07-11 20:13:16 UTC,Eastern Time (US & Canada),1427403,solcm7,Sol Adams,2025-07-17 14:42:24 UTC,2025-07-17 14:42:36 UTC,needs_id,,https://www.inaturalist.org/observations/298678136,https://static.inaturalist.org/photos/538029260/medium.jpg,,"",,0,0,false,2,"South Oxford, ME 04217, USA",44.3326817,-70.755886,,,,,,,open,false,gps,gps,Scaly Chanterelle,Turbinellus floccosus,Scaly Chanterelle,Fungi,417398
298678170,01d51725-a645-4e6d-80a0-caa3e503a922,2025-07-11 16:17:06,2025-07-11,2025-07-11 20:17:06 UTC,Eastern Time (US & Canada),1427403,solcm7,Sol Adams,2025-07-17 14:42:37 UTC,2025-07-18 15:32:25 UTC,research,,https://www.inaturalist.org/observations/298678170,https://static.inaturalist.org/photos/538029338/medium.jpg,,"",,1,0,false,2,"South Oxford, ME 04217, USA",44.3321007997,-70.7537482,,,,,,,open,false,gps,gps,common selfheal,Prunella vulgaris,common selfheal,Plantae,52764
298678232,20f8aecb-7998-463d-881e-7fdd61cedc07,2025-07-11 16:17:47,2025-07-11,2025-07-11 20:17:47 UTC,Eastern Time (US & Canada),1427403,solcm7,Sol Adams,2025-07-17 14:42:50 UTC,2025-08-21 07:05:16 UTC,needs_id,,https://www.inaturalist.org/observations/298678232,https://static.inaturalist.org/photos/538029406/medium.jpg,,"",,2,1,false,2,"South Oxford, ME 04217, USA",44.3319826997,-70.7537709,,,,,,,,false,gps,gps,Butterflies and Moths,Lepidoptera,Butterflies and Moths,Insecta,47157
298678300,6731317d-12a7-47fe-a214-70b339108717,2025-07-11 16:18:42,2025-07-11,2025-07-11 20:18:42 UTC,Eastern Time (US & Canada),1427403,solcm7,Sol Adams,2025-07-17 14:43:08 UTC,2025-07-17 14:43:18 UTC,needs_id,,https://www.inaturalist.org/observations/298678300,https://static.inaturalist.org/photos/538029556/medium.jpg,,"",,0,0,false,2,"South Oxford, ME 04217, USA",44.3319197,-70.7537655,,,,,,,,false,gps,gps,Alder Sawfly,Eriocampa ovata,Alder Sawfly,Insecta,418164
298678335,5c80f7fb-be50-49d9-ae04-e36ef14d5cda,2025-07-11 16:23:26,2025-07-11,2025-07-11 20:23:26 UTC,Eastern Time (US & Canada),1427403,solcm7,Sol Adams,2025-07-17 14:43:19 UTC,2025-07-17 14:43:24 UTC,needs_id,,https://www.inaturalist.org/observations/298678335,https://static.inaturalist.org/photos/538029662/medium.jpg,,"",,0,0,false,2,"South Oxford, ME 04217, USA",44.3322137997,-70.7537860997,,,,,,,,false,gps,gps,pixie cup and reindeer lichens,Cladonia,pixie cup and reindeer lichens,Fungi,49490
298678359,975e2f24-bb70-4f35-b0fc-134d75e07dda,2025-07-11 16:23:33,2025-07-11,2025-07-11 20:23:33 UTC,Eastern Time (US & Canada),1427403,solcm7,Sol Adams,2025-07-17 14:43:26 UTC,2025-07-17 14:43:31 UTC,needs_id,,https://www.inaturalist.org/observations/298678359,https://static.inaturalist.org/photos/538029714/medium.jpg,,"",,0,0,false,2,"South Oxford, ME 04217, USA",44.3322137997,-70.7537860997,,,,,,,,false,gps,gps,pixie cup and reindeer lichens,Cladonia,pixie cup and reindeer lichens,Fungi,49490
298678401,7f820851-b545-4001-91eb-e60b8314cadc,2025-07-11 16:25:54,2025-07-11,2025-07-11 20:25:54 UTC,Eastern Time (US & Canada),1427403,solcm7,Sol Adams,2025-07-17 14:43:33 UTC,2025-07-17 14:43:48 UTC,needs_id,,https://www.inaturalist.org/observations/298678401,https://static.inaturalist.org/photos/538029765/medium.jpg,,"",,0,0,false,2,"South Oxford, ME 04217, USA",44.3319147997,-70.7529478997,,,,,,,,false,gps,gps,whorled wood aster,Oclemena acuminata,whorled wood aster,Plantae,120181
298678452,ff271e5b-640b-4730-ac62-c0be89b22c41,2025-07-11 16:28:50,2025-07-11,2025-07-11 20:28:50 UTC,Eastern Time (US & Canada),1427403,solcm7,Sol Adams,2025-07-17 14:43:49 UTC,2025-07-17 14:44:06 UTC,needs_id,,https://www.inaturalist.org/observations/298678452,https://static.inaturalist.org/photos/538029898/medium.jpg,,"",,0,0,false,2,"South Oxford, ME 04217, USA",44.3320757997,-70.7519551997,,,,,,,open,false,gps,gps,Scaly Chanterelle,Turbinellus floccosus,Scaly Chanterelle,Fungi,417398
299913285,1df02d6e-3630-49f6-ad79-ef518a53c3ce,2025-07-21 14:49:50-04:00,2025-07-21,2025-07-21 18:49:50 UTC,Eastern Time (US & Canada),630734,madelaur,,2025-07-21 18:50:03 UTC,2025-07-22 00:13:25 UTC,research,,https://www.inaturalist.org/observations/299913285,https://static.inaturalist.org/photos/540341840/medium.jpg,,"","",2,0,false,3,"Vernon St, Albany Twp, ME, US",44.3357045461,-70.7617415073,462,,,,462,,,false,,,Ghost Pipe,Monotropa uniflora,Ghost Pipe,Plantae,49477
299915205,09aecbb3-b34a-46a4-9607-1dfc2b3bb1bc,2025-07-21 14:56:36-04:00,2025-07-21,2025-07-21 18:56:36 UTC,Eastern Time (US & Canada),630734,madelaur,,2025-07-21 18:56:55 UTC,2025-07-21 18:57:26 UTC,needs_id,,https://www.inaturalist.org/observations/299915205,https://static.inaturalist.org/photos/540345550/medium.jpg,,"","",0,0,false,3,"Albany Twp, ME, US",44.3339492679,-70.7585653038,26,,,,26,,open,false,,,"",Russula paludosa,Hintapink,Fungi,371588
299917091,016923f5-8700-494c-930f-85cd61e09cdb,2025-07-21 15:03:02-04:00,2025-07-21,2025-07-21 19:03:02 UTC,Eastern Time (US & Canada),630734,madelaur,,2025-07-21 19:03:15 UTC,2025-07-21 19:04:15 UTC,needs_id,,https://www.inaturalist.org/observations/299917091,https://static.inaturalist.org/photos/540349176/medium.jpg,,"","",0,0,false,3,"Greenwood, ME, US",44.3341341175,-70.7587098255,148,,,,148,,,false,,,"",Caulophyllum thalictroides,blue cohosh,Plantae,84330
299919162,b4acb484-5a34-42ea-9faf-5df0a72b71c2,2025-07-21 15:09:43-04:00,2025-07-21,2025-07-21 19:09:43 UTC,Eastern Time (US & Canada),630734,madelaur,,2025-07-21 19:10:10 UTC,2025-07-21 19:10:54 UTC,needs_id,,https://www.inaturalist.org/observations/299919162,https://static.inaturalist.org/photos/540352402/medium.jpg,,"","",0,0,false,3,"Greenwood, ME, US",44.3324829631,-70.7556802783,549,,,,549,,,false,,,"",Psathyrella piluliformis,Common Stump Brittlestem,Fungi,118273
299923041,998b1213-c10f-42c5-8dad-6cb3ea0fab2c,2025-07-21 15:24:46-04:00,2025-07-21,2025-07-21 19:24:46 UTC,Eastern Time (US & Canada),630734,madelaur,,2025-07-21 19:25:01 UTC,2025-07-21 19:25:33 UTC,needs_id,,https://www.inaturalist.org/observations/299923041,https://static.inaturalist.org/photos/540359920/medium.jpg,,"","",0,0,false,3,"Sunburn River Valley Lane, Greenwood, ME, US",44.3321741352,-70.7517509424,251,,,,251,,,false,,,"",Amanita flavoconia,Yellow Patches,Fungi,125389
299925016,57dd0ab5-e8aa-46fc-9c1b-0bebeb66d637,2025-07-21 15:31:25-04:00,2025-07-21,2025-07-21 19:31:25 UTC,Eastern Time (US & Canada),630734,madelaur,,2025-07-21 19:31:44 UTC,2025-07-21 19:32:12 UTC,needs_id,,https://www.inaturalist.org/observations/299925016,https://static.inaturalist.org/photos/540363605/medium.jpg,,"","",0,0,false,3,"Sunburn River Valley Lane, Greenwood, ME, US",44.333739888,-70.7521552102,321,,,,321,,open,false,,,"",Turbinellus floccosus,Scaly Chanterelle,Fungi,417398
302587880,fe7061e6-0007-46fa-8084-467c0077d290,2025-07-30 12:43:35-04:00,2025-07-30,2025-07-30 16:43:35 UTC,Eastern Time (US & Canada),2893725,addieworth,Addie Worth,2025-07-31 12:18:57 UTC,2025-07-31 12:19:35 UTC,needs_id,,https://www.inaturalist.org/observations/302587880,https://static.inaturalist.org/photos/545336179/medium.jpg,,"","",0,0,false,3,"Sunburn River Valley Lane, Greenwood, ME, US",44.3321416667,-70.75235,14,,,,14,,,false,,,"",Pleurotus pulmonarius,pale oyster,Fungi,136399
302588169,f5eaf620-6080-49ec-b7da-6863166ee652,2025-07-30 12:39:04-04:00,2025-07-30,2025-07-30 16:39:04 UTC,Eastern Time (US & Canada),2893725,addieworth,Addie Worth,2025-07-31 12:20:59 UTC,2025-07-31 12:41:16 UTC,research,,https://www.inaturalist.org/observations/302588169,https://static.inaturalist.org/photos/545336771/medium.jpg,,"","",1,0,false,3,"Sunburn River Valley Lane, Greenwood, ME, US",44.3323666667,-70.7534633333,13,,,,13,,,false,,,pink lady's slipper,Cypripedium acaule,pink lady's slipper,Plantae,47588
302835639,0df638b3-ae6e-4b69-a66e-6b99dd9f8d39,2025-08-01 07:42:04-04:00,2025-08-01,2025-08-01 11:42:04 UTC,Eastern Time (US & Canada),6903448,jamesalbany,,2025-08-01 11:42:17 UTC,2025-08-02 04:16:27 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/302835639,https://inaturalist-open-data.s3.amazonaws.com/photos/545790292/medium.jpg,,"","",2,0,false,3,"Albany Twp, ME, US",44.3357161526,-70.7613591292,7,,,,7,,open,false,,,tamarack,Larix laricina,tamarack,Plantae,58721
302835835,23e721f3-a38d-45e0-ae7b-a39f24083ece,2025-08-01 07:43:25-04:00,2025-08-01,2025-08-01 11:43:25 UTC,Eastern Time (US & Canada),6903448,jamesalbany,,2025-08-01 11:43:40 UTC,2025-08-01 11:51:25 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/302835835,https://inaturalist-open-data.s3.amazonaws.com/photos/545790566/medium.jpg,,"","",1,0,false,3,"Vernon St, Albany Twp, ME, US",44.3357307055,-70.7612612629,8,,,,8,,open,false,,,staghorn sumac,Rhus typhina,staghorn sumac,Plantae,167829
302835993,19301cd7-a50b-48f0-91c8-7de4af1cce0a,2025-08-01 07:44:25-04:00,2025-08-01,2025-08-01 11:44:25 UTC,Eastern Time (US & Canada),6903448,jamesalbany,,2025-08-01 11:44:44 UTC,2025-08-01 11:45:23 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/302835993,https://inaturalist-open-data.s3.amazonaws.com/photos/545790946/medium.jpg,,"","",0,0,false,3,"Vernon St, Albany Twp, ME, US",44.3357099772,-70.7614786256,6,,,,6,,open,false,,,"",Fraxinus americana,white ash,Plantae,54805
302836464,9f24c050-70f7-49e9-aa7e-ed0d677d2c1e,2025-08-01 07:47:31-04:00,2025-08-01,2025-08-01 11:47:31 UTC,Eastern Time (US & Canada),6903448,jamesalbany,,2025-08-01 11:48:00 UTC,2025-08-01 11:49:09 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/302836464,https://inaturalist-open-data.s3.amazonaws.com/photos/545791965/medium.jpg,,"","",0,0,false,3,"Vernon St, Albany Twp, ME, US",44.335599777,-70.7613195156,2,,,,2,,,false,,,"",Erigeron,fleabanes and horseweeds,Plantae,50879
302837246,aac0efdd-70ae-41dd-b6db-be7e6c83f12d,2025-08-01 07:49:22-04:00,2025-08-01,2025-08-01 11:49:22 UTC,Eastern Time (US & Canada),6903448,jamesalbany,,2025-08-01 11:53:14 UTC,2025-08-23 13:36:43 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/302837246,https://inaturalist-open-data.s3.amazonaws.com/photos/545793282/medium.jpg,,"","",1,0,false,3,"Vernon St, Albany Twp, ME, US",44.3355966667,-70.76132,36,,,,36,,,false,,,Indian tobacco,Lobelia inflata,Indian tobacco,Plantae,62351
302839386,ce1ed2eb-edb7-4375-82b1-fca8e603360d,2025-08-01 08:08:28-04:00,2025-08-01,2025-08-01 12:08:28 UTC,Eastern Time (US & Canada),6903448,jamesalbany,,2025-08-01 12:09:18 UTC,2025-10-22 17:14:12 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/302839386,https://inaturalist-open-data.s3.amazonaws.com/photos/545797948/medium.jpg,,"","",1,0,false,3,"Albany Twp, ME, US",44.3356783333,-70.7600033333,16,,,,16,,,false,,,cinnamon fern,Osmundastrum cinnamomeum,cinnamon fern,Plantae,204165
302904328,ef017d73-78fe-49a4-83ff-1afdf2b76695,2025-08-01 08:37:47-04:00,2025-08-01,2025-08-01 12:37:47 UTC,Eastern Time (US & Canada),6903448,jamesalbany,,2025-08-01 17:17:56 UTC,2025-08-01 17:18:52 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/302904328,https://inaturalist-open-data.s3.amazonaws.com/photos/545916514/medium.jpg,,"","",0,0,false,3,"Greenwood, ME, US",44.3305083333,-70.7500083333,3,,,,3,,,false,,,"",Marasmius,pinwheels and parachute mushrooms,Fungi,54067
302904612,4f02d01f-d70e-43a1-b2c8-5b9674923c7e,2025-08-01 08:30:05-04:00,2025-08-01,2025-08-01 12:30:05 UTC,Eastern Time (US & Canada),6903448,jamesalbany,,2025-08-01 17:18:54 UTC,2025-08-01 17:19:38 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/302904612,https://inaturalist-open-data.s3.amazonaws.com/photos/545916843/medium.jpg,,"","",0,0,false,3,"Sunburn River Valley Lane, Greenwood, ME, US",44.33208,-70.75235,3,,,,3,,,false,,,"",Pleurotus pulmonarius,pale oyster,Fungi,136399
302908252,316089f6-e270-44c3-9ef6-fdd415d05aaf,2025-08-01 08:23:10-04:00,2025-08-01,2025-08-01 12:23:10 UTC,Eastern Time (US & Canada),6903448,jamesalbany,,2025-08-01 17:34:19 UTC,2025-08-03 01:03:56 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/302908252,https://inaturalist-open-data.s3.amazonaws.com/photos/545924082/medium.jpg,,"","",1,0,false,3,"Greenwood, ME, US",44.3333083333,-70.75647,3,,,,3,,,false,,,Tree Lungwort,Lobaria pulmonaria,Tree Lungwort,Fungi,48711
302908523,a259d5fc-781d-4bb8-967b-95b10d1c18bc,2025-08-01 08:19:29-04:00,2025-08-01,2025-08-01 12:19:29 UTC,Eastern Time (US & Canada),6903448,jamesalbany,,2025-08-01 17:35:23 UTC,2025-08-03 12:18:15 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/302908523,https://inaturalist-open-data.s3.amazonaws.com/photos/545924441/medium.jpg,,"","",1,0,false,3,"Greenwood, ME, US",44.333545,-70.75802,4,,,,4,,,false,,,American Royal Fern,Osmunda spectabilis,American Royal Fern,Plantae,1002684
303586404,03e4a6fd-df20-412a-a5d0-ffcb5a728200,2025-08-03 15:06:05-04:00,2025-08-03,2025-08-03 19:06:05 UTC,Eastern Time (US & Canada),7728454,ajs19,,2025-08-04 00:15:20 UTC,2025-08-04 00:15:40 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/303586404,https://inaturalist-open-data.s3.amazonaws.com/photos/547199823/medium.jpg,,"","",0,0,false,3,"Greenwood, ME, US",44.333545,-70.7579716667,4,,,,4,,,false,,,"",Osmunda claytoniana,interrupted fern,Plantae,63058
303586528,efe48cea-0650-4efc-80f9-620377531c63,2025-08-03 15:02:13-04:00,2025-08-03,2025-08-03 19:02:13 UTC,Eastern Time (US & Canada),7728454,ajs19,,2025-08-04 00:15:56 UTC,2025-08-04 00:42:24 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/303586528,https://inaturalist-open-data.s3.amazonaws.com/photos/547200116/medium.jpg,,"","",1,0,false,3,"Albany Twp, ME, US",44.33517,-70.7595833333,4,,,,4,,,false,,,wild sarsaparilla,Aralia nudicaulis,wild sarsaparilla,Plantae,119828
303586692,ad763902-e432-4cd7-b7e7-6a1beb49c3ca,2025-08-03 15:01:23-04:00,2025-08-03,2025-08-03 19:01:23 UTC,Eastern Time (US & Canada),7728454,ajs19,,2025-08-04 00:16:23 UTC,2025-08-04 00:16:40 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/303586692,https://inaturalist-open-data.s3.amazonaws.com/photos/547200256/medium.jpg,,"","",0,0,false,3,"Albany Twp, ME, US",44.3354116667,-70.759955,4,,,,4,,,false,,,"",Lactifluus deceptivus,Deceptive Milky,Fungi,351318
